"month" "Consumer Price Index with fixed interest rate (CPIF), annual changes, 1987=100"
"1987M01" ..
"1987M02" ..
"1987M03" ..
"1987M04" ..
"1987M05" ..
"1987M06" ..
"1987M07" ..
"1987M08" ..
"1987M09" ..
"1987M10" ..
"1987M11" ..
"1987M12" ..
"1988M01" 4.5
"1988M02" 4.9
"1988M03" 5.2
"1988M04" 5.9
"1988M05" 6.0
"1988M06" 6.4
"1988M07" 5.7
"1988M08" 5.4
"1988M09" 5.3
"1988M10" 5.6
"1988M11" 5.5
"1988M12" 5.7
"1989M01" 6.5
"1989M02" 6.3
"1989M03" 6.3
"1989M04" 6.3
"1989M05" 6.5
"1989M06" 6.6
"1989M07" 6.1
"1989M08" 6.3
"1989M09" 6.3
"1989M10" 6.4
"1989M11" 6.3
"1989M12" 6.4
"1990M01" 8.0
"1990M02" 7.7
"1990M03" 9.9
"1990M04" 9.3
"1990M05" 9.6
"1990M06" 9.4
"1990M07" 10.4
"1990M08" 10.8
"1990M09" 11.1
"1990M10" 10.8
"1990M11" 10.8
"1990M12" 10.3
"1991M01" 9.9
"1991M02" 12.7
"1991M03" 10.5
"1991M04" 10.7
"1991M05" 10.2
"1991M06" 10.1
"1991M07" 9.1
"1991M08" 8.1
"1991M09" 8.1
"1991M10" 7.7
"1991M11" 8.1
"1991M12" 7.8
"1992M01" 5.2
"1992M02" 2.3
"1992M03" 2.3
"1992M04" 2.1
"1992M05" 2.1
"1992M06" 1.7
"1992M07" 1.6
"1992M08" 1.7
"1992M09" 1.6
"1992M10" 1.5
"1992M11" 0.8
"1992M12" 1.8
"1993M01" 4.7
"1993M02" 5.0
"1993M03" 5.1
"1993M04" 5.1
"1993M05" 4.9
"1993M06" 5.0
"1993M07" 4.9
"1993M08" 5.1
"1993M09" 5.1
"1993M10" 5.2
"1993M11" 5.6
"1993M12" 4.6
"1994M01" 2.1
"1994M02" 2.1
"1994M03" 1.9
"1994M04" 2.0
"1994M05" 2.3
"1994M06" 2.6
"1994M07" 2.8
"1994M08" 2.7
"1994M09" 2.6
"1994M10" 2.5
"1994M11" 2.3
"1994M12" 2.5
"1995M01" 2.8
"1995M02" 2.8
"1995M03" 2.8
"1995M04" 2.9
"1995M05" 2.9
"1995M06" 2.7
"1995M07" 2.6
"1995M08" 2.5
"1995M09" 2.3
"1995M10" 2.5
"1995M11" 2.6
"1995M12" 2.5
"1996M01" 1.8
"1996M02" 1.6
"1996M03" 1.8
"1996M04" 1.6
"1996M05" 1.5
"1996M06" 1.3
"1996M07" 1.3
"1996M08" 1.0
"1996M09" 0.9
"1996M10" 0.8
"1996M11" 0.7
"1996M12" 1.0
"1997M01" 1.2
"1997M02" 1.0
"1997M03" 1.0
"1997M04" 1.1
"1997M05" 1.2
"1997M06" 1.7
"1997M07" 1.7
"1997M08" 2.2
"1997M09" 2.5
"1997M10" 2.5
"1997M11" 2.5
"1997M12" 2.5
"1998M01" 1.9
"1998M02" 1.8
"1998M03" 1.5
"1998M04" 1.3
"1998M05" 1.5
"1998M06" 1.2
"1998M07" 1.1
"1998M08" 0.6
"1998M09" 0.0
"1998M10" 0.1
"1998M11" 0.1
"1998M12" 0.0
"1999M01" 0.7
"1999M02" 0.8
"1999M03" 1.1
"1999M04" 1.1
"1999M05" 1.1
"1999M06" 1.4
"1999M07" 1.2
"1999M08" 1.6
"1999M09" 1.9
"1999M10" 1.8
"1999M11" 1.7
"1999M12" 2.0
"2000M01" 1.0
"2000M02" 1.3
"2000M03" 1.3
"2000M04" 0.9
"2000M05" 1.1
"2000M06" 0.9
"2000M07" 0.9
"2000M08" 0.9
"2000M09" 0.9
"2000M10" 1.0
"2000M11" 1.3
"2000M12" 1.0
"2001M01" 1.5
"2001M02" 1.5
"2001M03" 1.8
"2001M04" 2.7
"2001M05" 2.9
"2001M06" 2.8
"2001M07" 2.7
"2001M08" 2.8
"2001M09" 2.9
"2001M10" 2.6
"2001M11" 2.6
"2001M12" 2.8
"2002M01" 2.9
"2002M02" 2.8
"2002M03" 2.9
"2002M04" 2.3
"2002M05" 1.8
"2002M06" 1.8
"2002M07" 2.0
"2002M08" 1.9
"2002M09" 1.8
"2002M10" 2.2
"2002M11" 1.9
"2002M12" 2.2
"2003M01" 2.8
"2003M02" 3.4
"2003M03" 3.1
"2003M04" 2.5
"2003M05" 2.2
"2003M06" 2.3
"2003M07" 2.5
"2003M08" 2.4
"2003M09" 2.4
"2003M10" 2.1
"2003M11" 2.1
"2003M12" 1.9
"2004M01" 1.3
"2004M02" 0.3
"2004M03" 0.6
"2004M04" 1.1
"2004M05" 1.5
"2004M06" 1.2
"2004M07" 1.3
"2004M08" 1.2
"2004M09" 1.2
"2004M10" 1.4
"2004M11" 1.1
"2004M12" 1.0
"2005M01" 0.8
"2005M02" 1.4
"2005M03" 0.8
"2005M04" 0.7
"2005M05" 0.5
"2005M06" 1.0
"2005M07" 1.0
"2005M08" 1.4
"2005M09" 1.3
"2005M10" 1.2
"2005M11" 1.5
"2005M12" 1.6
"2006M01" 1.2
"2006M02" 1.1
"2006M03" 1.5
"2006M04" 1.8
"2006M05" 1.9
"2006M06" 1.8
"2006M07" 1.6
"2006M08" 1.4
"2006M09" 1.2
"2006M10" 1.0
"2006M11" 1.3
"2006M12" 1.2
"2007M01" 1.4
"2007M02" 1.4
"2007M03" 1.4
"2007M04" 1.3
"2007M05" 1.0
"2007M06" 1.1
"2007M07" 1.2
"2007M08" 1.0
"2007M09" 1.3
"2007M10" 1.8
"2007M11" 2.3
"2007M12" 2.4
"2008M01" 2.3
"2008M02" 2.3
"2008M03" 2.6
"2008M04" 2.5
"2008M05" 3.0
"2008M06" 3.3
"2008M07" 3.2
"2008M08" 3.4
"2008M09" 3.5
"2008M10" 2.8
"2008M11" 1.8
"2008M12" 1.6
"2009M01" 2.1
"2009M02" 2.3
"2009M03" 1.9
"2009M04" 1.8
"2009M05" 1.4
"2009M06" 1.2
"2009M07" 1.4
"2009M08" 1.5
"2009M09" 1.1
"2009M10" 1.5
"2009M11" 2.0
"2009M12" 2.4
"2010M01" 2.3
"2010M02" 2.4
"2010M03" 2.2
"2010M04" 1.9
"2010M05" 2.1
"2010M06" 1.9
"2010M07" 1.7
"2010M08" 1.5
"2010M09" 1.8
"2010M10" 1.8
"2010M11" 1.9
"2010M12" 2.3
"2011M01" 1.4
"2011M02" 1.3
"2011M03" 1.5
"2011M04" 1.8
"2011M05" 1.7
"2011M06" 1.5
"2011M07" 1.6
"2011M08" 1.6
"2011M09" 1.5
"2011M10" 1.1
"2011M11" 1.1
"2011M12" 0.5
"2012M01" 0.9
"2012M02" 1.1
"2012M03" 1.1
"2012M04" 1.0
"2012M05" 0.9
"2012M06" 0.9
"2012M07" 0.8
"2012M08" 0.9
"2012M09" 0.9
"2012M10" 1.1
"2012M11" 0.8
"2012M12" 1.0
"2013M01" 1.0
"2013M02" 0.9
"2013M03" 0.9
"2013M04" 0.5
"2013M05" 0.7
"2013M06" 0.9
"2013M07" 1.2
"2013M08" 1.2
"2013M09" 0.9
"2013M10" 0.6
"2013M11" 0.7
"2013M12" 0.8
"2014M01" 0.4
"2014M02" 0.4
"2014M03" 0.0
"2014M04" 0.5
"2014M05" 0.4
"2014M06" 0.8
"2014M07" 0.6
"2014M08" 0.5
"2014M09" 0.3
"2014M10" 0.6
"2014M11" 0.6
"2014M12" 0.5
"2015M01" 0.6
"2015M02" 0.9
"2015M03" 0.9
"2015M04" 0.7
"2015M05" 1.0
"2015M06" 0.6
"2015M07" 0.9
"2015M08" 0.8
"2015M09" 1.0
"2015M10" 1.1
"2015M11" 1.0
"2015M12" 0.9
"2016M01" 1.6
"2016M02" 1.1
"2016M03" 1.5
"2016M04" 1.4
"2016M05" 1.1
"2016M06" 1.5
"2016M07" 1.4
"2016M08" 1.4
"2016M09" 1.2
"2016M10" 1.4
"2016M11" 1.6
"2016M12" 1.9
"2017M01" 1.6
"2017M02" 2.0
"2017M03" 1.5
"2017M04" 2.0
"2017M05" 1.9
"2017M06" 1.9
"2017M07" 2.4
"2017M08" 2.3
"2017M09" 2.3
"2017M10" 1.8
"2017M11" 2.0
"2017M12" 1.9
"2018M01" 1.7
"2018M02" 1.7
"2018M03" 2.0
"2018M04" 1.9
"2018M05" 2.1
"2018M06" 2.2
"2018M07" 2.2
"2018M08" 2.2
"2018M09" 2.5
"2018M10" 2.4
"2018M11" 2.1
"2018M12" 2.2
"2019M01" 2.0
"2019M02" 1.9
"2019M03" 1.8
"2019M04" 2.0
"2019M05" 2.1
"2019M06" 1.7
"2019M07" 1.5
"2019M08" 1.3
"2019M09" 1.3
"2019M10" 1.5
"2019M11" 1.7
"2019M12" 1.7
"2020M01" 1.2
"2020M02" 1.0
"2020M03" 0.6
"2020M04" -0.4
"2020M05" 0.0
"2020M06" 0.7
"2020M07" 0.5
"2020M08" 0.7
"2020M09" 0.3
"2020M10" 0.3
"2020M11" 0.2
"2020M12" 0.5
"2021M01" 1.7
"2021M02" 1.5
"2021M03" 1.9
"2021M04" 2.5
"2021M05" 2.1
"2021M06" 1.6
"2021M07" 1.7
"2021M08" 2.4
"2021M09" 2.8
"2021M10" 3.1
"2021M11" 3.6
"2021M12" 4.1
"2022M01" 3.9
"2022M02" 4.5
"2022M03" 6.1
"2022M04" 6.4
"2022M05" 7.2
